TestCase,GridSize,ThreadsX,ThreadsY,TotalThreads,TimeSeconds
1,256x256,1,1,1,.674922666
1,512x512,1,1,1,4.666093333
1,1024x1024,1,1,1,37.469066666
1,2048x2048,1,1,1,322.256000000
1,4096x4096,1,1,1,2789.900000000
